Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2027,2,18,308.5099852,290.8813693,279.1464065,271.2925965,267.1347771,268.3473117,279.5747015,297.7977062,310.7064129,325.055314,335.6919964,340.3187913,343.9598493,345.0373866,350.305312,356.9709633,363.0098286,367.3729932,366.5061114,376.4521133,382.2347044,371.5590745,356.855521,332.509876
2027,2,19,305.7976156,286.5328702,274.6842362,266.9375854,262.8556567,262.464364,272.8389963,289.498023,304.0550681,318.2476948,330.8608589,337.6908938,341.7222386,346.7218256,350.1835284,355.5534997,360.9472475,363.9034915,361.7976981,370.0174904,374.0938527,363.1347153,348.5708682,328.090759
2027,2,20,303.6176068,286.1671436,275.1094409,266.7696132,260.9588767,260.0660079,264.2550638,275.2381744,290.4994375,310.2474229,326.1333762,337.1351575,343.8271327,346.6622106,346.4833789,347.7029173,351.9655721,356.8783745,358.6904535,367.246463,370.4921526,359.1357054,344.3981453,323.3979442
2027,2,21,301.3572551,285.5566689,273.5176799,265.5533952,260.1178953,257.8004696,259.5826854,263.2418582,273.5537609,290.6436521,304.8188983,313.6728115,318.6438109,321.0241815,328.4766054,335.6067421,341.4235508,345.302799,346.7940637,356.9110492,363.0075434,357.9078273,344.7059778,321.3419059
2027,2,22,296.8698208,278.5004852,267.1912088,259.485715,255.2984337,255.7608539,265.3189686,283.9281053,295.4814404,311.0336086,327.5992673,340.1992131,348.3337672,353.5694761,361.5066514,372.0201539,379.8882303,385.0385537,381.7903739,385.3921629,391.5829236,381.3333702,365.8656467,340.1283922
2027,2,23,311.3014223,292.044474,279.5973228,270.2028255,265.0784307,264.5618251,275.2992134,293.0797966,304.0162696,319.3533971,334.0125287,341.4148225,347.7092963,353.33463,361.4856272,371.6166114,376.9426828,379.679264,374.8919715,383.7945757,387.4455664,378.9350139,364.6700356,339.4792284
2027,2,24,312.3019374,294.5089045,281.387235,274.7410233,269.9740277,270.2488782,281.1820334,299.68847,310.6170392,322.8046723,334.8363851,343.5054407,349.3762404,352.8118913,356.5621885,358.8912898,364.4705113,366.506341,363.7364384,372.3885666,382.7487539,373.6139391,358.9409563,333.3212696
2027,2,25,306.0737429,288.7153547,277.9857454,270.4832142,266.0029834,267.6853887,278.8144186,295.7793365,308.3382169,318.8667981,330.8392485,338.7287611,345.4832427,349.3701397,352.8750987,359.4317315,363.6522105,366.7413496,365.1941188,370.5230883,377.9806404,370.5574229,354.3215972,330.0004044
2027,2,26,303.7879897,287.3016096,274.0517379,266.9270582,262.5245952,262.8563961,274.0938246,290.7635597,301.6810629,314.7066612,327.7318255,336.9605679,345.0050043,347.6549738,350.3944575,355.230151,359.7163278,362.3437638,360.1134572,368.2929408,374.5690944,364.4507822,347.8101534,325.4550333
2027,2,27,300.0202664,283.0331399,271.000802,262.9568095,258.5086605,257.9010859,262.7336898,272.8992026,291.3680333,312.7009313,327.560181,336.7068184,339.6236486,345.4217582,348.2807777,350.4181942,353.7652817,354.86919,352.4928781,360.3473711,365.8805396,355.8126431,342.0770065,322.3514786
